当前排名,代码,股票名称,最新价,涨跌额,涨跌幅
1,SH600330,天通股份,12.0,1.1987999999999999,9.99
2,SZ000936,华西股份,11.45,1.1438549999999998,9.99
3,SZ000815,美利云,12.66,1.264734,9.99
4,SH600602,云赛智联,15.69,1.5737069999999997,10.03
5,SZ002236,大华股份,21.38,2.133724,9.98
6,SZ300620,光库科技,65.52,13.104,20.0
7,SZ002281,光迅科技,36.69,1.7060849999999999,4.65
8,SZ300308,中际旭创,155.0,23.234499999999997,14.99
9,SZ002261,拓维信息,19.31,0.4924049999999999,2.55
10,SZ000977,浪潮信息,56.5,4.86465,8.61
11,SZ002527,新时达,10.0,1.001,10.01
12,SZ002536,飞龙股份,14.39,1.441878,10.02
13,SZ002896,中大力德,35.83,3.586583,10.01
14,SH600633,浙数文化,17.22,1.7271659999999998,10.03
15,SH600105,永鼎股份,7.97,0.48856099999999997,6.13
16,SZ000988,华工科技,41.13,3.224592,7.84
17,SZ002777,久远银海,38.57,3.8608569999999998,10.01
18,SZ300678,中科信息,59.16,8.01618,13.55
19,SZ300418,昆仑万维,62.16,7.235424,11.64
20,SZ002995,天地在线,44.36,4.431564,9.99
21,SZ300570,太辰光,54.99,8.886384,16.16
22,SH603019,中科曙光,55.78,1.9355660000000001,3.47
23,SH603015,弘讯科技,10.14,1.011972,9.98
24,SZ002229,鸿博股份,35.23,0.14092,0.4
25,SH603629,利通电子,29.16,2.9160000000000004,10.0
26,SZ002424,贵州百灵,8.67,0.869601,10.03
27,SH603887,城地香江,10.78,1.078,10.0
28,SH601138,工业富联,24.06,1.5085619999999997,6.27
29,SZ300059,东方财富,14.86,0.21249799999999996,1.43
30,SZ300378,鼎捷软件,27.46,5.497491999999999,20.02
31,SZ300303,聚飞光电,6.76,0.7436,11.0
32,SZ002878,元隆雅图,20.68,2.068,10.0
33,SZ002902,铭普光磁,37.49,2.815499,7.51
34,SZ002272,川润股份,7.88,0.792728,10.06
35,SZ000032,深桑达Ａ,37.8,3.7837799999999997,10.01
36,SZ000151,中成股份,12.51,1.254753,10.03
37,SH603108,润达医疗,15.37,1.540074,10.02
38,SZ300548,博创科技,42.77,6.548087000000001,15.31
39,SH601127,赛力斯,34.69,0.9990719999999998,2.88
40,SH600519,贵州茅台,1797.69,43.683867,2.43
41,SZ002725,跃岭股份,12.08,-0.498904,-4.13
42,SZ300576,容大感光,39.6,0.98208,2.48
43,SZ002116,中国海诚,12.43,1.2429999999999999,10.0
44,SZ002230,科大讯飞,74.31,1.456476,1.96
45,SH600215,派斯林,8.13,0.8138130000000001,10.01
46,SZ002823,凯中精密,11.75,1.17735,10.02
47,SH603083,剑桥科技,73.95,0.46588500000000005,0.63
48,SZ002833,弘亚数控,19.72,1.968056,9.98
49,SZ000421,南京公用,5.36,0.539216,10.06
50,SZ002095,生 意 宝,23.34,2.3316660000000002,9.99
51,SH601360,三六零,15.14,0.34822,2.3
