股票名称,涨跌幅,所属板块名称,市场代码,现价,市场缩写,排名变化,市场
中国重工,+2.69%,航海装备Ⅱ,601989,4.58,SH,0,ab
中国银行,-1.25%,国有大型银行Ⅱ,601988,3.96,SH,0,ab
紫金矿业,+1.95%,工业金属,601899,12.03,SH,0,ab
XD中国能,+1.72%,基础建设,601868,2.37,SH,0,ab
中国石油,+0.26%,炼化及贸易,601857,7.58,SH,0,ab
京沪高铁,+3.14%,铁路公路,601816,5.58,SH,0,ab
中国电信,-0.50%,通信服务,601728,5.96,SH,0,ab
中国电建,+2.45%,基础建设,601669,5.86,SH,0,ab
中国建筑,+1.83%,房屋建设Ⅱ,601668,6.12,SH,0,ab
邮储银行,-1.73%,国有大型银行Ⅱ,601658,5.12,SH,0,ab
工商银行,-0.61%,国有大型银行Ⅱ,601398,4.88,SH,0,ab
中国中铁,+4.37%,基础建设,601390,7.88,SH,0,ab
三六零  ,+2.30%,软件开发,601360,15.14,SH,0,ab
农业银行,-0.56%,国有大型银行Ⅱ,601288,3.58,SH,0,ab
中国铁建,+3.68%,基础建设,601186,10.42,SH,0,ab
工业富联,+6.27%,消费电子,601138,24.06,SH,0,ab
隆基绿能,+1.54%,光伏设备,601012,29.63,SH,0,ab
四川长虹,-1.76%,黑色家电,600839,5.01,SH,0,ab
太极实业,+7.89%,工程咨询服务Ⅱ,600667,7.38,SH,0,ab
ST康美  ,-4.33%,中药Ⅱ,600518,1.99,SH,0,ab
小商品城,+0.68%,一般零售,600415,10.32,SH,0,ab
天通股份,+9.99%,专用设备,600330,12.0,SH,0,ab
永泰能源,-2.13%,煤炭开采,600157,1.38,SH,0,ab
永鼎股份,+6.13%,通信设备,600105,7.97,SH,0,ab
同方股份,+4.11%,计算机设备,600100,9.38,SH,0,ab
汤姆猫,+2.45%,游戏Ⅱ,300459,7.1,SZ,0,ab
昆仑万维,+11.64%,游戏Ⅱ,300418,62.16,SZ,0,ab
掌趣科技,+2.38%,游戏Ⅱ,300315,6.45,SZ,0,ab
聚飞光电,+11.00%,光学光电子,300303,6.76,SZ,0,ab
捷成股份,+2.64%,影视院线,300182,7.39,SZ,0,ab
天舟文化,+6.44%,游戏Ⅱ,300148,6.45,SZ,0,ab
保力新,0.00%,电池,300116,1.53,SZ,0,ab
国联水产,0.00%,渔业,300094,5.17,SZ,0,ab
东方财富,+1.43%,证券Ⅱ,300059,14.86,SZ,0,ab
蓝色光标,+4.49%,广告营销,300058,11.87,SZ,0,ab
天海防务,+3.91%,航海装备Ⅱ,300008,5.05,SZ,0,ab
神州泰岳,+1.25%,游戏Ⅱ,300002,13.73,SZ,0,ab
中公教育,+1.01%,教育,002607,4.99,SZ,0,ab
世纪华通,-0.51%,游戏Ⅱ,002602,7.85,SZ,0,ab
天娱数科,-0.88%,游戏Ⅱ,002354,7.9,SZ,0,ab
拓维信息,+2.55%,软件开发,002261,19.31,SZ,0,ab
上海莱士,+4.74%,生物制品,002252,7.51,SZ,0,ab
大华股份,+9.98%,计算机设备,002236,21.38,SZ,0,ab
荣盛发展,-3.17%,房地产开发,002146,1.83,SZ,0,ab
利欧股份,+2.06%,广告营销,002131,2.48,SZ,0,ab
巨轮智能,+1.27%,专用设备,002031,3.2,SZ,0,ab
分众传媒,+1.63%,广告营销,002027,7.49,SZ,0,ab
中南建设,-2.50%,房地产开发,000961,1.56,SZ,0,ab
京东方Ａ,+0.25%,光学光电子,000725,4.04,SZ,0,ab
中油资本,+4.93%,多元金融,000617,7.88,SZ,0,ab
