排名较昨日变动,当前排名,代码,股票名称,最新价,涨跌额,涨跌幅
3230,634,SZ300497,富祥药业,12.98,-0.177826,-1.37
2439,2003,SH688030,山石网科,22.34,0.5316919999999999,2.38
1762,1198,SH603232,格尔软件,16.86,0.254586,1.51
1519,146,SZ002648,卫星化学,14.79,-0.25586699999999996,-1.73
1384,2948,SH600599,ST熊猫,11.27,-0.244559,-2.17
1361,296,SH688222,成都先导,18.15,0.57717,3.18
1322,2882,SH600365,ST通葡,3.26,-0.010105999999999999,-0.31
1267,2870,SH688536,思瑞浦,231.51,-3.194838,-1.38
1266,1445,SH600993,马应龙,28.13,-0.129398,-0.46
1211,3266,SZ002622,皓宸医疗,3.13,-0.019719,-0.63
1134,2728,SH603916,苏博特,13.74,0.0,0.0
1110,2125,SZ000038,*ST大通,,,
1043,2316,SH600267,海正药业,11.4,-0.0399,-0.35
1036,994,SZ300768,迪普科技,18.55,0.31535,1.7
1025,1537,SZ002166,莱茵生物,7.27,0.10105299999999998,1.39
1017,2257,SH600653,申华控股,1.84,0.010120000000000002,0.55
1004,983,SH605100,华丰股份,16.22,-0.22707999999999998,-1.4
998,1746,SH601008,连云港,4.29,0.071214,1.66
991,3511,SH688079,美迪凯,11.08,0.059832,0.54
970,3653,SH600235,民丰特纸,5.42,0.009755999999999999,0.18
965,2340,SZ300526,*ST中潜,,,
962,414,SZ002751,*ST易尚,,,
955,3131,SH601717,郑煤机,12.11,0.0,0.0
915,1246,SZ003040,楚天龙,19.37,0.079417,0.41
907,3434,SZ002721,*ST金一,3.59,0.020104,0.56
886,1776,SH603297,永新光学,83.86,0.268352,0.32
886,4079,SH688373,盟科药业-U,8.74,0.029716000000000006,0.34
866,1090,SZ300172,中电环保,4.79,-0.039757,-0.83
834,3143,SH603016,新宏泰,22.66,0.009064,0.04
814,3046,SH603080,新疆火炬,13.62,0.19204199999999996,1.41
797,86,SZ002055,得润电子,9.52,0.09043999999999999,0.95
795,1533,SH600426,华鲁恒升,31.3,-0.44445999999999997,-1.42
783,1914,SH688568,中科星图,79.48,0.7153200000000001,0.9
782,1496,SH603859,能科科技,48.53,-0.359122,-0.74
774,2628,SZ002196,方正电机,6.79,-0.010185,-0.15
765,1833,SH688316,青云科技-U,62.35,-1.28441,-2.06
764,210,SH688008,澜起科技,60.83,-0.6508809999999999,-1.07
754,1636,SH688110,东芯股份,36.03,0.435963,1.21
752,1774,SH688170,德龙激光,47.15,-1.7916999999999998,-3.8
741,1619,SH603179,新泉股份,43.71,0.14861400000000002,0.34
739,843,SZ300387,富邦股份,7.08,0.143016,2.02
735,2068,SH605555,德昌股份,15.11,0.202474,1.34
728,3493,SH601518,吉林高速,3.37,0.0,0.0
705,2222,SH603180,金牌厨柜,33.17,-0.20897100000000002,-0.63
705,2986,SH603658,安图生物,54.25,-0.0217,-0.04
697,42,SZ300576,容大感光,39.6,0.98208,2.48
697,1168,SH600340,华夏幸福,2.32,-0.019719999999999998,-0.85
692,2916,SZ002661,克明食品,11.19,0.030213,0.27
688,1197,SZ300468,四方精创,11.95,0.120695,1.01
683,2546,SZ301327,华宝新能,79.76,0.5423680000000001,0.68
682,893,SZ002411,*ST必康,,,
680,3347,SH603315,福鞍股份,11.75,0.050525,0.43
676,3389,SH603071,物产环能,16.28,-0.019536,-0.12
674,1588,SH603666,亿嘉和,39.51,0.33188399999999996,0.84
671,1311,SZ002612,朗姿股份,23.91,-0.109986,-0.46
669,3333,SH600307,酒钢宏兴,1.57,0.010048000000000001,0.64
661,2573,SH603076,乐惠国际,44.25,0.606225,1.37
660,2595,SH688772,珠海冠宇,18.97,-0.656362,-3.46
657,2482,SZ002513,蓝丰生化,,,
636,2183,SZ300617,安靠智电,39.13,0.0,0.0
630,121,SZ300657,弘信电子,20.1,0.56481,2.81
625,3648,SZ003041,真爱美家,15.52,0.020176,0.13
615,3194,SH601089,福元医药,16.78,0.0,0.0
608,560,SZ301226,祥明智能,26.0,0.4576,1.76
607,2997,SH603590,康辰药业,31.08,0.18026399999999998,0.58
605,3412,SZ300127,银河磁体,17.13,-0.05995499999999999,-0.35
603,2749,SZ002524,光正眼科,6.35,0.050164999999999994,0.79
602,1682,SZ873593,鼎智科技,106.99,-0.8773179999999999,-0.82
597,1648,SZ002832,比音勒芬,33.71,-0.9236540000000001,-2.74
595,2861,SZ300294,博雅生物,37.44,-0.10108800000000001,-0.27
594,475,SH600039,四川路桥,9.92,0.235104,2.37
593,4309,SH688247,宣泰医药,12.9,0.07998,0.62
583,3029,SZ000417,合肥百货,4.87,-0.059413999999999995,-1.22
582,3384,SH688013,天臣医疗,24.1,0.8266300000000001,3.43
577,3233,SH603788,宁波高发,11.41,-0.069601,-0.61
574,285,SZ300353,东土科技,12.76,0.162052,1.27
571,3066,SH600371,万向德农,11.73,0.059823,0.51
570,2738,SH688777,中控技术,92.31,0.720018,0.78
564,3249,SH603239,浙江仙通,15.99,-0.009594,-0.06
563,3007,SH600626,申达股份,3.54,-0.029736,-0.84
563,3824,SH688282,理工导航,53.0,-0.48760000000000003,-0.92
562,3189,SZ301321,翰博高新,14.04,0.040715999999999995,0.29
558,1325,SH600115,中国东航,4.79,0.060833000000000005,1.27
557,970,SH688655,迅捷兴,16.82,-0.39022399999999996,-2.32
554,1905,SZ000061,农 产 品,6.31,-0.127462,-2.02
544,3866,SH603386,骏亚科技,11.49,-0.049407,-0.43
540,2550,SH600359,新农开发,7.75,0.02015,0.26
534,3195,SH600239,云南城投,2.12,-0.009963999999999999,-0.47
528,2272,SZ002883,中设股份,11.33,0.030591000000000004,0.27
528,3500,SZ002360,同德化工,7.54,0.111592,1.48
524,3622,SH603222,济民医疗,11.1,0.02997,0.27
522,122,SH600157,永泰能源,1.38,-0.029393999999999997,-2.13
518,1021,SH600750,江中药业,21.4,-0.1284,-0.6
518,2883,SH603171,税友股份,42.7,0.53802,1.26
513,4276,SH603709,中源家居,16.98,-0.020376,-0.12
512,3289,SH605338,巴比食品,25.66,-0.228374,-0.89
510,3047,SZ002679,福建金森,12.3,0.019680000000000003,0.16
507,1850,SH603519,立霸股份,14.0,-0.019600000000000003,-0.14
507,3268,SH600463,空港股份,8.81,0.141841,1.61
506,305,SZ001979,招商蛇口,13.44,-0.20697600000000002,-1.54
