板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,000001,平安银行,1991-04-03,"19,405,918,198","19,405,534,450",J 金融业
主板,000002,万  科Ａ,1991-01-29,"9,724,196,533","9,716,667,215",K 房地产
主板,000004,ST国华,1990-12-01,"132,848,008","118,916,853",I 信息技术
主板,000005,ST星源,1990-12-10,"1,058,536,842","1,057,875,742",N 公共环保
主板,000006,深振业Ａ,1992-04-27,"1,349,995,046","1,349,987,396",K 房地产
主板,000007,*ST全新,1992-04-13,"346,448,044","308,948,044",K 房地产
主板,000008,神州高铁,1992-05-07,"2,716,377,683","2,686,674,473",C 制造业
主板,000009,中国宝安,1991-06-25,"2,579,213,965","2,551,430,324",S 综合
主板,000010,美丽生态,1995-10-27,"1,058,692,292","522,171,498",E 建筑业
主板,000011,深物业A,1992-03-30,"528,373,849","526,475,543",K 房地产
主板,000012,南  玻Ａ,1992-02-28,"1,961,323,047","1,956,966,398",C 制造业
主板,000014,沙河股份,1992-06-02,"242,046,224","242,046,224",K 房地产
主板,000016,深康佳Ａ,1992-03-27,"1,596,593,800","1,596,579,175",C 制造业
主板,000017,深中华A,1992-03-31,"440,821,951","302,984,965",C 制造业
主板,000019,深粮控股,1992-10-12,"1,100,785,974","416,216,407",F 批发零售
主板,000020,深华发Ａ,1992-04-28,"181,165,391","181,165,391",C 制造业
主板,000021,深科技,1994-02-02,"1,560,587,588","1,560,157,463",C 制造业
主板,000023,ST深天,1993-04-29,"138,756,240","138,756,240",C 制造业
主板,000025,特  力Ａ,1993-06-21,"392,778,320","392,778,320",F 批发零售
主板,000026,飞亚达,1993-06-03,"367,691,263","362,553,413",F 批发零售
主板,000027,深圳能源,1993-09-03,"4,757,389,916","4,757,389,916",D 水电煤气
主板,000028,国药一致,1993-08-09,"485,213,797","478,053,712",F 批发零售
主板,000029,深深房Ａ,1993-09-15,"891,660,000","891,652,725",K 房地产
主板,000030,富奥股份,1993-09-29,"1,693,824,170","1,692,209,461",C 制造业
主板,000031,大悦城,1993-10-08,"4,286,313,339","4,002,887,169",K 房地产
主板,000032,深桑达Ａ,1993-10-28,"1,137,959,234","644,763,811",E 建筑业
主板,000034,神州数码,1994-05-09,"669,350,504","550,056,794",F 批发零售
主板,000035,中国天楹,1994-04-08,"2,523,777,297","2,453,345,376",N 公共环保
主板,000036,华联控股,1994-06-17,"1,483,934,025","1,480,828,283",K 房地产
主板,000037,深南电A,1994-07-01,"338,908,150","338,863,225",D 水电煤气
主板,000038,*ST大通,1994-08-08,"522,777,419","250,597,406",L 商务服务
主板,000039,中集集团,1994-04-08,"2,302,682,490","2,301,407,141",C 制造业
主板,000040,东旭蓝天,1994-08-08,"1,486,873,870","1,060,340,670",D 水电煤气
主板,000042,中洲控股,1994-09-21,"664,831,139","663,989,377",K 房地产
主板,000045,深纺织Ａ,1994-08-15,"457,021,849","457,021,849",C 制造业
主板,000046,*ST泛海,1994-09-12,"5,196,200,656","5,173,541,431",J 金融业
主板,000048,京基智农,1994-11-01,"523,239,250","523,239,250",C 制造业
主板,000049,德赛电池,1995-03-20,"299,386,862","299,278,116",C 制造业
主板,000050,深天马Ａ,1995-03-15,"2,457,747,661","2,375,794,164",C 制造业
主板,000055,方大集团,1996-04-15,"679,715,472","675,854,429",C 制造业
主板,000056,皇庭国际,1996-07-08,"966,853,708","903,728,783",L 商务服务
主板,000058,深 赛 格,1996-12-26,"984,739,354","984,696,604",L 商务服务
主板,000059,华锦股份,1997-01-30,"1,599,442,537","1,599,405,037",C 制造业
主板,000060,中金岭南,1997-01-23,"3,737,544,918","3,737,263,668",C 制造业
主板,000061,农 产 品,1997-01-10,"1,696,964,131","1,696,936,756",L 商务服务
主板,000062,深圳华强,1997-01-30,"1,045,909,322","1,044,547,851",F 批发零售
主板,000063,中兴通讯,1997-11-18,"3,985,590,322","3,984,862,079",C 制造业
主板,000065,北方国际,1998-06-05,"1,001,757,748","905,334,162",E 建筑业
主板,000066,中国长城,1997-06-26,"3,225,799,088","3,146,793,277",C 制造业
主板,000068,华控赛格,1997-06-11,"1,006,671,464","1,006,671,464",M 科研服务
主板,000069,华侨城Ａ,1997-09-10,"8,201,793,915","7,056,455,919",K 房地产
主板,000070,特发信息,2000-05-11,"900,344,760","888,578,626",C 制造业
主板,000078,海王生物,1998-12-18,"2,750,833,257","2,626,073,638",F 批发零售
主板,000088,盐 田 港,1997-07-28,"2,249,161,747","2,249,135,473",G 运输仓储
主板,000089,深圳机场,1998-04-20,"2,050,769,509","2,050,742,403",G 运输仓储
主板,000090,天健集团,1999-07-21,"1,868,545,434","1,868,459,934",E 建筑业
主板,000096,广聚能源,2000-07-24,"528,000,000","510,848,000",F 批发零售
主板,000099,中信海直,2000-07-31,"775,770,137","710,215,136",G 运输仓储
主板,000100,TCL科技,2004-01-30,"18,779,080,767","15,014,567,401",C 制造业
主板,000151,中成股份,2000-09-06,"337,370,728","266,543,967",F 批发零售
主板,000153,丰原药业,2000-09-20,"332,111,230","311,977,230",C 制造业
主板,000155,川能动力,2000-09-26,"1,475,926,818","1,296,929,045",D 水电煤气
主板,000156,华数传媒,2000-09-06,"1,852,932,442","1,565,055,111",R 文化传播
主板,000157,中联重科,2000-10-12,"7,096,027,688","7,068,726,983",C 制造业
主板,000158,常山北明,2000-07-24,"1,598,616,721","1,584,265,499",I 信息技术
主板,000159,国际实业,2000-09-26,"480,685,993","480,640,668",F 批发零售
主板,000166,申万宏源,2015-01-26,"22,535,944,560","22,535,507,316",J 金融业
主板,000301,东方盛虹,2000-05-29,"6,611,212,627","5,497,003,129",C 制造业
主板,000333,美的集团,2013-09-18,"7,022,181,291","6,880,596,778",C 制造业
主板,000338,潍柴动力,2007-04-30,"6,783,516,821","5,049,627,710",C 制造业
主板,000400,许继电气,1997-04-18,"1,008,327,309","1,008,306,159",C 制造业
主板,000401,冀东水泥,1996-06-14,"2,658,214,631","1,547,299,781",C 制造业
主板,000402,金 融 街,1996-06-26,"2,988,929,907","2,987,829,036",K 房地产
主板,000403,派林生物,1996-06-28,"732,645,729","636,466,319",C 制造业
主板,000404,长虹华意,1996-06-19,"695,995,979","694,843,822",C 制造业
主板,000407,胜利股份,1996-07-03,"880,084,656","875,767,412",D 水电煤气
主板,000408,藏格矿业,1996-06-28,"1,580,435,073","1,580,418,573",C 制造业
主板,000409,云鼎科技,1996-06-27,"664,210,505","423,376,995",I 信息技术
主板,000410,沈阳机床,1996-07-18,"2,064,746,603","1,680,915,944",C 制造业
主板,000411,英特集团,1996-07-16,"505,459,620","300,845,156",F 批发零售
主板,000413,东旭光电,1996-09-25,"5,382,749,947","5,029,350,156",C 制造业
主板,000415,渤海租赁,1996-07-16,"6,184,521,282","5,392,739,135",L 商务服务
主板,000416,*ST民控,1996-07-19,"531,871,494","531,641,098",J 金融业
主板,000417,合肥百货,1996-08-12,"779,884,200","779,027,451",F 批发零售
主板,000419,通程控股,1996-08-16,"543,582,655","543,361,733",F 批发零售
主板,000420,吉林化纤,1996-08-02,"2,458,868,343","2,458,028,143",C 制造业
主板,000421,南京公用,1996-08-06,"578,261,934","572,646,934",D 水电煤气
主板,000422,湖北宜化,1996-08-15,"897,866,712","897,817,191",C 制造业
主板,000423,东阿阿胶,1996-07-29,"643,976,824","643,976,824",C 制造业
主板,000425,徐工机械,1996-08-28,"11,816,166,093","4,727,667,078",C 制造业
主板,000426,兴业银锡,1996-08-28,"1,837,192,219","1,475,000,717",B 采矿业
主板,000428,华天酒店,1996-08-08,"1,018,926,000","1,018,882,500",H 住宿餐饮
主板,000429,粤高速Ａ,1998-02-20,"1,742,056,126","1,303,329,906",G 运输仓储
主板,000430,张家界,1996-08-29,"404,817,686","331,738,800",N 公共环保
主板,000488,晨鸣纸业,2000-11-20,"1,745,051,684","1,685,544,097",C 制造业
主板,000498,山东路桥,1997-06-09,"1,560,987,803","1,457,849,158",E 建筑业
主板,000501,武商集团,1992-11-20,"768,992,731","768,073,142",F 批发零售
主板,000503,国新健康,1992-11-30,"906,413,204","898,822,204",I 信息技术
主板,000504,南华生物,1992-12-08,"311,573,901","310,673,201",M 科研服务
主板,000505,京粮控股,1992-12-21,"661,975,251","631,105,336",C 制造业
主板,000506,中润资源,1993-03-12,"929,017,761","928,670,961",B 采矿业
主板,000507,珠海港,1993-03-26,"919,734,895","902,337,753",G 运输仓储
主板,000509,华塑控股,1993-05-07,"1,073,128,052","1,073,112,808",Q 卫生
主板,000510,新金路,1993-05-07,"609,182,254","567,242,232",C 制造业
主板,000513,丽珠集团,1993-10-28,"625,721,470","605,860,369",C 制造业
主板,000514,渝 开 发,1993-07-12,"843,770,965","843,770,965",K 房地产
主板,000516,国际医学,1993-08-09,"2,275,255,232","1,899,738,282",Q 卫生
